id,word,article,topics,level,gender,partOfSpeech,translation,transcriptionRu,plural,examples,association,image,forms,conjugation
kommen,kommen,—,relationships & communication,A1,—,глагол,приходить,ко́ммен,kam; ist gekommen,Komm bitte zu mir.,(ком- сюда),kommen.jpg,kam; ist gekommen,ich komme; du kommst; er kommt…
bekommen,bekommen,—,relationships & communication,A1,—,глагол,получать,бекóммен,bekam; hat bekommen,Ich bekomme eine Nachricht.,(be- усиливает kommen → получать),bekommen.jpg,bekam; bekommen,ich bekomme…
schweigen,schweigen,—,relationships & communication,B1,—,глагол,молчать,шва́йген,schwieg; hat geschwiegen,Er schweigt lange.,(шш— тишина),schweigen.jpg,schwieg; geschwiegen,ich schweige…
sich_beschweren,sich beschweren,—,relationships & communication,B1,—,глагол (refl.),жаловаться,зих бешве́рен,—,Ich beschwere mich über ihn.,(тяжесть → schwer → жалоба),beschweren.jpg,—,ich beschwere mich…
sich_kuemmern_um,sich kümmern um,—,relationships & communication,A2,—,глагол (refl.),заботиться о,зих кю́ммерн ум,—,Ich kümmere mich um dich.,(куд- крутиться вокруг),kümmern.jpg,—,ich kümmere mich…
unterstuetzen,unterstützen,—,relationships & communication,B1,—,глагол,поддерживать,унтэрштю́цен,—,Ich unterstütze dich.,(под + стоять → поддерживать),unterstützen.jpg,—,ich unterstütze…
diskutieren,diskutieren,—,relationships & communication,B1,—,глагол,"обсуждать, дискутировать",дискути́рен,—,Wir diskutieren das Thema.,(как в русском),diskutieren.jpg,—,ich diskutiere…
zustimmen,zustimmen,—,relationships & communication,A2,—,глагол,соглашаться,цу́штиммен,—,Ich stimme dir zu.,(stimmen — быть верным → zustimmen),zustimmen.jpg,—,ich stimme zu…
ablehnen,ablehnen,—,relationships & communication,B1,—,глагол,"отклонять, отказывать",а́блеːнен,—,Ich lehne den Vorschlag ab.,(lehnen — отклонить назад),ablehnen.jpg,—,ich lehne ab…
vereinbaren,vereinbaren,—,relationships & communication,B1,—,глагол,договариваться,фера́йнбарен,—,Wir vereinbaren einen Termin.,(verein — союз → договориться),vereinbaren.jpg,—,ich vereinbare…
kontakt_aufnehmen,Kontakt aufnehmen,—,relationships & communication,B1,—,фраз. глагол,установить контакт,контак्ट ауфне́мен,—,Ich nehme Kontakt auf.,(take contact),kontakt.jpg,—,ich nehme Kontakt auf…
beziehung,Beziehung,die,relationships & communication,A2,f,сущ.,отношения,бецИ́хунг,Beziehungen,Wir haben eine gute Beziehung.,(ziehen — тянуть связь),beziehung.jpg,—,—
hilfe,Hilfe,die,relationships & communication,A1,f,сущ.,помощь,хИ́льфе,—,Ich brauche Hilfe.,(help → Hilfe),hilfe.jpg,—,—
haus,Haus,das,house & dwelling,A1,n,сущ.,дом,хаус,Häuser,Das Haus ist groß.,(house как в английском),haus.jpg,—,—
wohnung,Wohnung,die,house & dwelling,A1,f,сущ.,квартира,во́нунг,Wohnungen,Die Wohnung ist modern.,(жить — wohnen → Wohnung),wohnung.jpg,—,—
zimmer,Zimmer,das,house & dwelling,A1,n,сущ.,комната,ци́ммер,Zimmer,Das Zimmer ist hell.,(циммер — комната),zimmer.jpg,—,—
altbau,Altbau,der,house & dwelling,A2,m,сущ.,"старый дом (дореволюционный, старой постройки)",а́лтбау,Altbauten,Ich wohne in einem Altbau.,"(alt — старый, Bau — строение)",altbau.jpg,—,—
neubau,Neubau,der,house & dwelling,A2,m,сущ.,новостройка,но́йбау,Neubauten,Der Neubau ist teuer.,(neu — новый + Bau),neubau.jpg,—,—
wg,WG (Wohngemeinschaft),die,house & dwelling,A2,f,сущ.,"совместное жильё, коммуналка, квартира с соседями",веге́,WGs,Ich wohne in einer WG.,(Wohn + Gemeinschaft → совместное жильё),wg.jpg,—,—
dorf,Dorf,das,house & dwelling,A1,n,сущ.,деревня,дорф,Dörfer,Ich lebe in einem Dorf.,(деревня — Dorf),dorf.jpg,—,—
stadt,Stadt,die,house & dwelling,A1,f,сущ.,город,штат,Städte,Die Stadt ist groß.,(штат → город),stadt.jpg,—,—
nachbarschaft,Nachbarschaft,die,house & dwelling,A2,f,сущ.,"соседство, район",на́хбаршафт,—,Die Nachbarschaft ist ruhig.,(Nachbar — сосед),nachbarschaft.jpg,—,—
umgebung,Umgebung,die,house & dwelling,A2,f,сущ.,"окрестности, окружение",умге́бунг,—,Die Umgebung ist schön.,(um + geben — вокруг),umgebung.jpg,—,—
hof,Hof,der,house & dwelling,A1,m,сущ.,двор,хоф,Höfe,Die Kinder spielen im Hof.,"(хлев, двор)",hof.jpg,—,—
garten,Garten,der,house & dwelling,A1,m,сущ.,сад,га́ртен,Gärten,Der Garten ist groß.,(garden),garten.jpg,—,—
treppenhaus,Treppenhaus,das,house & dwelling,A2,n,сущ.,лестничная клетка,тре́ппенхаус,Treppenhäuser,Das Treppenhaus ist sauber.,(Treppen — ступени + Haus),treppenhaus.jpg,—,—
aufzug,Aufzug,der,house & dwelling,A2,m,сущ.,лифт,а́уфцуг,Aufzüge,Der Aufzug funktioniert nicht.,(auf + ziehen — тянуть вверх),aufzug.jpg,—,—
keller,Keller,der,house & dwelling,A1,m,сущ.,подвал,ке́ллер,Keller,Der Keller ist kalt.,(келлер — как cellar),keller.jpg,—,—
dachboden,Dachboden,der,house & dwelling,A2,m,сущ.,чердак,да́хбоден,Dachböden,Der Dachboden ist staubig.,"(Dach — крыша, Boden — пол → сверху)",dachboden.jpg,—,—
dach,Dach,das,house & dwelling,A1,n,сущ.,крыша,дах,Dächer,Das Dach ist neu.,(похоже на «дах»),dach.jpg,—,—
wand,Wand,die,house & dwelling,A1,f,сущ.,стена (внутренняя),ванд,Wände,Die Wand ist weiß.,(ванда — стена),wand.jpg,—,—
boden,Boden,der,house & dwelling,A1,m,сущ.,пол,бо́ден,Böden,Der Boden ist sauber.,(bottom → Boden),boden.jpg,—,—
decke,Decke,die,house & dwelling,A1,f,сущ.,потолок / одеяло,де́кке,Decken,Die Decke ist hoch.,(декор → верх),decke.jpg,—,—
flur,Flur,der,house & dwelling,A2,m,сущ.,коридор,флюр,Flure,Der Flur ist lang.,(флэр — проход),flur.jpg,—,—
tuer,Tür,die,house & dwelling,A1,f,сущ.,дверь,тюр,Türen,Die Tür ist offen.,(тура — дверь),tür.jpg,—,—
fenster,Fenster,das,house & dwelling,A1,n,сущ.,окно,фэ́нстер,Fenster,Das Fenster ist groß.,(фен — дует через окно),fenster.jpg,—,—
balkon,Balkon,der,house & dwelling,A2,m,сущ.,балкон,балко́н,Balkone,Der Balkon ist sonnig.,(как русское «балкон»),balkon.jpg,—,—
terrasse,Terrasse,die,house & dwelling,A2,f,сущ.,терраса,тэра́ссе,Terrassen,Wir sitzen auf der Terrasse.,(как русское «терраса»),terrasse.jpg,—,—
garage,Garage,die,house & dwelling,A1,f,сущ.,гараж,гара́же,Garagen,Die Garage ist voll.,(как русское «гараж»),garage.jpg,—,—
stellplatz,Stellplatz,der,house & dwelling,B1,m,сущ.,парковочное место,штэ́льплац,Stellplätze,Ich habe einen Stellplatz.,(stelle → ставить машину),stellplatz.jpg,—,—
mieter,Mieter,der,house & dwelling,A2,m,сущ.,арендатор,ми́тер,Mieter,Der Mieter zahlt die Miete.,(mieten — снимать → Mieter),mieter.jpg,—,—
vermieter,Vermieter,der,house & dwelling,A2,m,сущ.,арендодатель,ферми́тер,Vermieter,Der Vermieter ist freundlich.,(ver- отдавать → Vermieter),vermieter.jpg,—,—
miete,Miete,die,house & dwelling,A1,f,сущ.,"аренда, квартплата",ми́те,Mieten,Die Miete ist hoch.,(мито — плата),miete.jpg,—,—
nebenkosten,Nebenkosten,die (Pl.),house & dwelling,B1,pl,сущ.,коммунальные платежи,не́бенкостен,—,Die Nebenkosten sind teuer.,"(Neben — дополнительно, Kosten — расходы)",nebenkosten.jpg,—,—
kaution,Kaution,die,house & dwelling,B1,f,сущ.,залог,кавцио́н,Kautionen,Die Kaution beträgt 500 Euro.,(как в русском),kaution.jpg,—,—
vertrag,Vertrag,der,house & dwelling,B1,m,сущ.,договор,фертра́г,Verträge,Ich unterschreibe den Vertrag.,(тракт → документ),vertrag.jpg,—,—
umzug,Umzug,der,house & dwelling,A2,m,сущ.,переезд,у́мцу́г,Umzüge,Der Umzug ist stressig.,(ziehen — тянуть → перетаскивать вещи),umzug.jpg,—,—
einziehen,einziehen,—,house & dwelling,A2,—,глагол,въезжать,а́йнциехен,zog ein; ist eingezogen,Ich ziehe morgen ein.,(ein — внутрь + ziehen — тянуть),einziehen.jpg,zog ein; eingezogen,ich ziehe ein…
ausziehen,ausziehen,—,house & dwelling,A2,—,глагол,выезжать,а́усциехен,zog aus; ist ausgezogen,Er zieht nächste Woche aus.,(aus — наружу),ausziehen.jpg,zog aus; ausgezogen,ich ziehe aus…
umziehen,umziehen,—,house & dwelling,A2,—,глагол,переезжать,у́мциехен,zog um; ist umgezogen,Wir ziehen nach Berlin um.,(um — вокруг → менять место),umziehen.jpg,zog um; umgezogen,ich ziehe um…
renovieren,renovieren,—,house & dwelling,B1,—,глагол,"ремонтировать, обновлять",ренови́рен,—,Wir renovieren die Wohnung.,(renovation),renovieren.jpg,—,ich renoviere…
reparieren,reparieren,—,house & dwelling,A2,—,глагол,"чинить, ремонтировать",репари́рен,—,Ich repariere die Tür.,(repair),reparieren.jpg,—,ich repariere…
gross,groß,—,house & dwelling,A1,—,прил.,большой,грос,—,Die Wohnung ist groß.,(грос — большой),groß.jpg,—,—
klein,klein,—,house & dwelling,A1,—,прил.,маленький,кляйн,—,Das Zimmer ist klein.,(клякса — маленькая),klein.jpg,—,—
gemuetlich,gemütlich,—,house & dwelling,A2,—,прил.,уютный,гемю́тлих,—,Die Wohnung ist gemütlich.,(мягко «мю» — уютно),gemütlich.jpg,—,—
eng,eng,—,house & dwelling,A2,—,прил.,"тесный, узкий",энг,—,Das Zimmer ist eng.,(анг — сжато),eng.jpg,—,—
breit,breit,—,house & dwelling,A2,—,прил.,широкий,брайт,—,Die Straße ist breit.,(bright — широкое пространство),breit.jpg,—,—
moebliert,möbliert,—,house & dwelling,B1,—,прил.,меблированный,мёбли́рт,—,Die Wohnung ist möbliert.,(Möbel → мебель),möbliert.jpg,—,—
haushalt,Haushalt,der,house & dwelling,B1,m,сущ.,"хозяйство, домашние дела",ха́ушальт,Haushalte,Der Haushalt ist groß.,(house + halten — держать быт),haushalt.jpg,—,—
bewohner,Bewohner,der,house & dwelling,A2,m,сущ.,житель,бево́нер,Bewohner,Die Bewohner sind freundlich.,(wohnen → Bewohner),bewohner.jpg,—,—
wohnen,wohnen,—,house & dwelling,A1,—,глагол,"жить, проживать",во́нен,—,Ich wohne in Berlin.,(one — живёт один),wohnen.jpg,—,ich wohne…
bewohnen,bewohnen,—,house & dwelling,B1,—,глагол,"заселять, населять",бево́нен,—,Viele Menschen bewohnen das Haus.,(wohnen → bewohnen),bewohnen.jpg,—,ich bewohne…
kueche,Küche,die,house & dwelling,A1,f,сущ.,кухня,кю́хе,Küchen,Die Küche ist modern.,(кухя — кухня),küche.jpg,—,—
bad,Bad,das,house & dwelling,A1,n,сущ.,ванная,бат,Bäder,Das Bad ist klein.,(bath),bad.jpg,—,—
raum,Raum,der,house & dwelling,A1,m,сущ.,"помещение, пространство",раум,Räume,Der Raum ist groß.,(room),raum.jpg,—,—
huette,Hütte,die,house & dwelling,B1,f,сущ.,хижина,хю́тте,Hütten,Die Hütte steht im Wald.,(хата → Hütte),hütte.jpg,—,—
einrichten,einrichten,—,house & dwelling,A2,—,глагол,"обустраивать, оформлять",а́йнрихтен,—,Ich richte die Wohnung ein.,"(richten — направлять, устраивать)",einrichten.jpg,—,ich richte ein…
montieren,montieren,—,house & dwelling,B1,—,глагол,"монтировать, собирать",монти́рен,—,Ich montiere das Regal.,(как «монтаж»),montieren.jpg,—,ich montiere…
aufbauen,aufbauen,—,house & dwelling,A2,—,глагол,"собирать, строить",а́уфбауэн,baute auf; hat aufgebaut,Ich baue die Möbel auf.,(bauen — строить → aufbauen),aufbauen.jpg,baute auf; aufgebaut,ich baue auf…
berg,Berg,der,nature,A1,m,сущ.,гора,берг,Berge,Der Berg ist hoch.,(берег — возвышенность),berg.jpg,—,—
bewoelkt,bewölkt,—,nature,A2,—,прил.,облачно,бевёлькт,—,Es ist bewölkt.,(wolk — облако),bewölkt.jpg,—,—
blitz,Blitz,der,nature,A2,m,сущ.,молния,блиц,Blitze,Der Blitz ist hell.,(блиц — очень быстро),blitz.jpg,—,—
brennen,brennen,—,nature,A2,—,глагол,гореть,брэ́ннен,brannte; hat gebrannt,Das Feuer brennt.,(бревно горит → brennen),brennen.jpg,brannte; gebrannt,ich brenne…
donner,Donner,der,nature,A2,m,сущ.,гром,до́ннер,Donner,Der Donner ist laut.,(дон! — удар грома),donner.jpg,—,—
erdbeben,Erdbeben,das,nature,B1,n,сущ.,землетрясение,э́рдбебен,Erdbeben,Das Erdbeben war stark.,(Erde + beben — земля дрожит),erdbeben.jpg,—,—
feld,Feld,das,nature,A1,n,сущ.,поле,фельд,Felder,Das Feld ist groß.,(фолдинг — простор),feld.jpg,—,—
fliessen,fließen,—,nature,A2,—,глагол,течь,фли́сен,floss; ist geflossen,Der Fluss fließt schnell.,(flow → fließen),fließen.jpg,floss; geflossen,ich fließe…
fluss,Fluss,der,nature,A1,m,сущ.,река,флус,Flüsse,Der Fluss ist breit.,(flow → Fluss),fluss.jpg,—,—
flut,Flut,die,nature,B1,f,сущ.,наводнение,флу́т,Fluten,Die Flut ist gefährlich.,(flood → Flut),flut.jpg,—,—
frieren,frieren,—,nature,A2,—,глагол,мёрзнуть,фри́рен,fror; hat/ist gefroren,Ich friere.,(freeze → frieren),frieren.jpg,fror; gefroren,ich friere…
gewitter,Gewitter,das,nature,A2,n,сущ.,гроза,геви́ттер,Gewitter,Das Gewitter kommt.,(виттер — ветер грозы),gewitter.jpg,—,—
grad,Grad,der,nature,A1,m,сущ.,градус,грат,Grade,Es sind 20 Grad.,(degree → Grad),grad.jpg,—,—
hagel,Hagel,der,nature,B1,m,сущ.,град (осадки),ха́гель,Hagel,Es hagelt.,(хаг — твёрдые капли),hagel.jpg,—,—
insel,Insel,die,nature,A1,f,сущ.,остров,и́нзель,Inseln,Die Insel ist klein.,(island → Insel),insel.jpg,—,—
klimawandel,Klimawandel,der,nature,B1,m,сущ.,изменение климата,кли́мавандель,—,Der Klimawandel ist real.,(Wandel — перемена),klimawandel.jpg,—,—
kueste,Küste,die,nature,A2,f,сущ.,побережье,кю́сте,Küsten,Die Küste ist schön.,(крутая линия берега → Küste),küste.jpg,—,—
meer,Meer,das,nature,A1,n,сущ.,море,меːр,Meere,Das Meer ist ruhig.,(море → Meer),meer.jpg,—,—
nass,nass,—,nature,A1,—,прил.,мокрый,нас,—,Ich bin nass.,(нас — намок),nass.jpg,—,—
nebel,Nebel,der,nature,A2,m,сущ.,туман,не́бель,Nebel,Der Nebel ist dicht.,(небо — скрыто туманом),nebel.jpg,—,—
orkan,Orkan,der,nature,B1,m,сущ.,ураган,орка́н,Orkane,Der Orkan ist stark.,(орк → сильный шторм),orkan.jpg,—,—
regen,Regen,der,nature,A1,m,сущ.,дождь,ре́ген,Regen,Der Regen fällt.,(рег — льёт),regen.jpg,—,—
regnen,regnen,—,nature,A1,глагол,идти (о дожде),ре́гнен,—,Es regnet.,(regen → regnen),regnen.jpg,—,es regnet…,
scheinen,scheinen,—,nature,A2,глагол,светить,шай́нен,schien; hat geschienen,Die Sonne scheint.,(shine → scheinen),scheinen.jpg,schien; geschienen,ich scheine…,
schnee,Schnee,der,nature,A1,m,сущ.,снег,шнеː,Schnee,Der Schnee ist weiß.,(sch — шипит → снег падает),schnee.jpg,—,—
schneien,schneien,—,nature,A1,глагол,идёт снег,шна́йен,—,Es schneit.,(Schnee → schneien),schneien.jpg,—,es schneit…,
see,See,der,nature,A1,m,сущ.,озеро,зеː,Seen,Der See ist tief.,(sea → See),see.jpg,—,—
sturm,Sturm,der,nature,A2,m,сущ.,"буря, шторм",шту́рм,Stürme,Der Sturm ist gefährlich.,(штурм → сильный ветер),sturm.jpg,—,—
tal,Tal,das,nature,A2,n,сущ.,долина,таːл,Täler,Das Tal ist ruhig.,(даль — низина),tal.jpg,—,—
temperatur,Temperatur,die,nature,A1,f,сущ.,температура,темпэрату́р,Temperaturen,Die Temperatur ist niedrig.,(как в русском),temperatur.jpg,—,—
trocken,trocken,—,nature,A2,прил.,сухой,тро́ккен,—,Es ist trocken.,(труха → сухое),trocken.jpg,—,—,
ueberfluten,überfluten,—,nature,B1,глагол,затоплять,ю́берфлутен,—,Der Fluss überflutet das Tal.,(flood → fluten),überfluten.jpg,—,ich überflute…,
ufer,Ufer,das,nature,A2,n,сущ.,берег (реки/озера),у́фер,Ufer,Am Ufer sitzen Leute.,(offer — край),ufer.jpg,—,—
umwelt,Umwelt,die,nature,A2,f,сущ.,окружающая среда,у́мвельт,—,Die Umwelt ist wichtig.,(um — вокруг + Welt — мир),umwelt.jpg,—,—
wachsen,wachsen,—,nature,A2,глагол,расти,ва́хсен,wuchs; ist gewachsen,Die Pflanzen wachsen schnell.,(wax — расти),wachsen.jpg,wuchs; gewachsen,ich wachse…,
wald,Wald,der,nature,A1,m,сущ.,лес,вальт,Wälder,Der Wald ist dicht.,(вал деревьев),wald.jpg,—,—
wehen,wehen,—,nature,A2,глагол,дуть (о ветре),ве́эн,—,Der Wind weht.,(веет → wehen),wehen.jpg,—,es weht…,
wetter,Wetter,das,nature,A1,n,сущ.,погода,ве́ттер,Wetter,Das Wetter ist schön.,(weather → Wetter),wetter.jpg,—,—
wetterbericht,Wetterbericht,der,nature,A2,m,сущ.,прогноз погоды,ве́ттерберихт,Wetterberichte,Ich höre den Wetterbericht.,(Bericht — отчёт → о погоде),wetterbericht.jpg,—,—
wiese,Wiese,die,nature,A1,f,сущ.,луг,ви́зе,Wiesen,Die Wiese ist grün.,(вивисектора нет → трава),wiese.jpg,—,—
zerstoeren,zerstören,—,nature,B1,—,глагол,"разрушать, уничтожать",цэршто́рен,—,Das Feuer zerstört den Wald.,"(stören — мешать, zerstören — разрушать полностью)",zerstören.jpg,—,ich zerstöre…
welt,Welt,die,nature,A1,f,сущ.,"мир, планета",вэлт,Welten,Die Welt ist schön.,(world → Welt),welt.jpg,—,—
wind,Wind,der,nature,A1,m,сущ.,ветер,винд,Winde,Der Wind weht stark.,(wind → Wind),wind.jpg,—,—
luft,Luft,die,nature,A1,f,сущ.,воздух,лфт,Lüfte,Die Luft ist frisch.,(луфт — воздух),luft.jpg,—,—
bach,Bach,der,nature,A2,m,сущ.,ручей,бах,Bäche,Der Bach fließt schnell.,(бах — журчит),bach.jpg,—,—
licht,Licht,das,nature,A1,n,сущ.,свет,лихт,Lichter,Das Licht ist hell.,(light → Licht),licht.jpg,—,—
